approach,term,vocabulary
Arthrokinetics massage,Arthrokinetics massage,"Integrative Nursing, NCCIH, Lindquist"
"Medicine, African Traditional","Medicine, African Traditional","MESH, Cochrane"
"Medicine, Arabic","Medicine, Arabic",Cochrane
"Medicine, East Asian Traditional","Medicine, East Asian Traditional",Cochrane
Japanese traditional medicine,Japanese traditional medicine,"Natural Medicines,Cochrane"
Traditional Indian medicine,Traditional Indian medicine,Cochrane
Yunani medicine,Yunani medicine,"Duke,Cochrane"
Traditional Korean medicine,Traditional Korean medicine,Cochrane
Unani medicine,Unani medicine,"Natural Medicines,Cochrane"
Siddha medicine,Siddha medicine,"Natural Medicines,Cochrane"
Kampo Medicine,Kampo Medicine,Natural Medicines
walking medication,walking medication,Mayo
guided medication,guided medication,Mayo
breath medication,breath medication,Mayo
Analytical medication,Analytical medication,"Integrative Nursing, NCCIH, Lindquist, Cochrane"
Vipassana meditation,Vipassana meditation,Duke
Zen Meditation,Zen Meditation,Duke
Mindfulness-based Relapse Prevention,Mindfulness-based Relapse Prevention,Natural Medicines
Cognitive-Behavioral and Mindfulness-Based Stress Reduction,Cognitive-Behavioral and Mindfulness-Based Stress Reduction,Natural Medicines
Adapted Mindfulness-Based Intervention,Adapted Mindfulness-Based Intervention,Natural Medicines
Mindfulness and Acceptance-Based Group Therapy,Mindfulness and Acceptance-Based Group Therapy,Natural Medicines
Mindfulness Awareness Practice,Mindfulness Awareness Practice,"Integrative Nursing, Mayo, Duke"
Mindfulness-Based Intervention for Social Anxiety Disorder,Mindfulness-Based Intervention for Social Anxiety Disorder,Natural Medicines
Mindfulness-Based Cognitive Therapy,Mindfulness-Based Cognitive Therapy,Natural Medicines
Mindfulness-Based Alzheimer Stimulation,Mindfulness-Based Alzheimer Stimulation,Integrative Nursing
Mindfulness-Based Exposure Therapy,Mindfulness-Based Exposure Therapy,Cochrane
Mindfulness-Based Art Therapy,Mindfulness-Based Art Therapy,Integrative Nursing
Aconite Cake-Separated Moxibustion,Aconite Cake-Separated Moxibustion,Natural Medicines
Acu-Moxi,Acu-Moxi,Natural Medicines
Acu-Moxibustion,Acu-Moxibustion,Natural Medicines
Angelica-Cake Moxibustion,Angelica-Cake Moxibustion,Natural Medicines
Bird-Pecking Moxibustion,Bird-Pecking Moxibustion,Natural Medicines
Chinetsukyu (Japanese),Chinetsukyu (Japanese),Natural Medicines
Cake-Separated Mild-Warm Moxibustion,Cake-Separated Mild-Warm Moxibustion,Natural Medicines
Cake-Separated Moxibustion,Cake-Separated Moxibustion,Natural Medicines
Circling Moxibustion,Circling Moxibustion,Natural Medicines
Cone Moxibustion,Cone Moxibustion,Natural Medicines
Cotton Sheet Moxibustion,Cotton Sheet Moxibustion,Natural Medicines
Crude Herb Moxibustion,Crude Herb Moxibustion,Natural Medicines
Direct Cone Moxibustion,Direct Cone Moxibustion,Natural Medicines
Drug-Separated Moxibustion,Drug-Separated Moxibustion,Natural Medicines
Du-Moxibustion,Du-Moxibustion,Natural Medicines
Dynamic Moxibustion,Dynamic Moxibustion,Natural Medicines
Electric Heating Moxibustion,Electric Heating Moxibustion,Natural Medicines
Electronic Moxibustion,Electronic Moxibustion,Natural Medicines
Electrothermal Bian-Stone Moxibustion,Electrothermal Bian-Stone Moxibustion,Natural Medicines
Fu-Yang Moxibustion,Fu-Yang Moxibustion,Natural Medicines
Garlic Moxibustion,Garlic Moxibustion,Natural Medicines
Ginger-Indirect Moxibustion,Ginger-Indirect Moxibustion,Natural Medicines
Ginger-Partitioned Moxibustion,Ginger-Partitioned Moxibustion,Natural Medicines
Ginger-Salt-Partitioned Moxibustion,Ginger-Salt-Partitioned Moxibustion,Natural Medicines
Ginger-Separated Moxibustion,Ginger-Separated Moxibustion,Natural Medicines
Governor Moxibustion,Governor Moxibustion,Natural Medicines
Grain-Shaped Moxibustion,Grain-Shaped Moxibustion,Natural Medicines
Hand Moxibustion,Hand Moxibustion,Natural Medicines
Hanging Moxibustion,Hanging Moxibustion,Natural Medicines
Heat-Sensitive Moxibustion,Heat-Sensitive Moxibustion,Natural Medicines
Herb-Cake Seperated Moxibustion,Herb-Cake Seperated Moxibustion,Natural Medicines
Herb-Partitioned Spread Moxibustion,Herb-Partitioned Spread Moxibustion,Natural Medicines
Herbal-Moxa Moxibustion,Herbal-Moxa Moxibustion,Natural Medicines
Indirect Moxibustion,Indirect Moxibustion,Natural Medicines
Infrared Laser Moxibustion,Infrared Laser Moxibustion,Natural Medicines
Isolated Moxibustion,Isolated Moxibustion,Natural Medicines
Isolated-Herbal Moxibustion,Isolated-Herbal Moxibustion,Natural Medicines
Kyutoshin (Japanese),Kyutoshin (Japanese),Natural Medicines
Laser Moxibustion,Laser Moxibustion,Natural Medicines
Long Snake Moxibustion,Long Snake Moxibustion,Natural Medicines
Medicated Thread Moxibustion,Medicated Thread Moxibustion,Natural Medicines
Medicated Threads Moxibustion of Zhuang Nationality,Medicated Threads Moxibustion of Zhuang Nationality,Natural Medicines
Mild Moxibustion,Mild Moxibustion,Natural Medicines
Mild-Warm Moxibustion,Mild-Warm Moxibustion,Natural Medicines
Monkshood Cake-Separated Mild-Warm Moxibustion,Monkshood Cake-Separated Mild-Warm Moxibustion,Natural Medicines
Moving Moxibustion,Moving Moxibustion,Natural Medicines
Moxa,Moxa,Natural Medicines
Moxa-Cone Moxibustion,Moxa-Cone Moxibustion,Natural Medicines
Moxa-Stick Moxibustion,Moxa-Stick Moxibustion,Natural Medicines
Moxibustion Box,Moxibustion Box,Natural Medicines
Okyu (Japanese),Okyu (Japanese),Natural Medicines
Panlong Moxibustion,Panlong Moxibustion,Natural Medicines
Partition-Bran Moxibustion,Partition-Bran Moxibustion,Natural Medicines
Partition-Herb Moxibustion,Partition-Herb Moxibustion,Natural Medicines
Pecking Moxibustion,Pecking Moxibustion,Natural Medicines
Rice-Sized Direct Moxa,Rice-Sized Direct Moxa,Natural Medicines
Snake Moxibustion,Snake Moxibustion,Natural Medicines
Solar-Term Moxibustion,Solar-Term Moxibustion,Natural Medicines
Sparrow-Pecking Moxibustion,Sparrow-Pecking Moxibustion,Natural Medicines
Substance-Partitioned Moxibustion,Substance-Partitioned Moxibustion,Natural Medicines
Suspended Moxibustion,Suspended Moxibustion,Natural Medicines
Thin Cotton Moxibustion,Thin Cotton Moxibustion,Natural Medicines
Thunder-Fire Moxibustion,Thunder-Fire Moxibustion,Natural Medicines
Tortoise-Shell Moxibustion,Tortoise-Shell Moxibustion,Natural Medicines
Traditional Box Moxibustion,Traditional Box Moxibustion,Natural Medicines
Warm-Needle Moxibustion,Warm-Needle Moxibustion,Natural Medicines
Warming Moxibustion,Warming Moxibustion,Natural Medicines
Warming Needle Moxibustion,Warming Needle Moxibustion,Natural Medicines
Warming-Cup Moxibustion,Warming-Cup Moxibustion,Natural Medicines
Zhuang Medicated Thread Moxibustion,Zhuang Medicated Thread Moxibustion,Natural Medicines
Musical Games,Musical Games,Natural Medicines
Orff-Based Music Therapy,Orff-Based Music Therapy,Natural Medicines
Lyric Analysis,Lyric Analysis,Natural Medicines
Musical Motor Feedback,Musical Motor Feedback,Natural Medicines
Evocative Music,Evocative Music,Natural Medicines
Expressive Therapy,Expressive Therapy,Natural Medicines
Ragas,Ragas,Natural Medicines
Lullaby Therapy,Lullaby Therapy,"Natural Medicines,MESH, Duke"
Dinner Music Intervention,Dinner Music Intervention,Natural Medicines
Mandalas,Mandalas,Natural Medicines
Interactive Music Therapy,Interactive Music Therapy,Natural Medicines
Active Music Therapy,Active Music Therapy,Natural Medicines
Music Stimulation,Music Stimulation,Natural Medicines
Music-Reinforced Therapy,Music-Reinforced Therapy,Natural Medicines
Group Chanting and Singing,Group Chanting and Singing,"Natural Medicines,SNOMED, Integrative Nursing, Duke, Cochrane"
Music Listening Intervention,Music Listening Intervention,"Natural Medicines,SNOMED, Integrative Nursing, Duke, Cochrane"
Musicokinetic Therapy,Musicokinetic Therapy,"Natural Medicines,SNOMED, Integrative Nursing, Duke, Cochrane"
Calming Music Therapy,Calming Music Therapy,"Natural Medicines,SNOMED, Integrative Nursing, Duke, Cochrane"
Music-Based Intervention,Music-Based Intervention,"Natural Medicines,SNOMED, Integrative Nursing, Duke, Cochrane"
Live Music Therapy,Live Music Therapy,"Natural Medicines,SNOMED, Integrative Nursing, Duke, Cochrane"
Group Drumming,Group Drumming,Natural Medicines
Instructional Music Therapy,Instructional Music Therapy,Natural Medicines
Improvisational Music Therapy,Improvisational Music Therapy,Natural Medicines
Music And Movement,Music And Movement,Natural Medicines
Music-Assisted Progressive Muscle Relaxation,Music-Assisted Progressive Muscle Relaxation,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Contingent Music,Contingent Music,"Natural Medicines,Cochrane"
Medical Resonance Therapy Music,Medical Resonance Therapy Music,"Natural Medicines,Integrative Nursing, Duke, Cochrane"
Music-Video Therapy,Music-Video Therapy,"Natural Medicines,Integrative Nursing, Mayo"
Music Exposure Therapy,Music Exposure Therapy,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Karaoke Therapy,Karaoke Therapy,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Individualized Music-Focused Auditory Therapy,Individualized Music-Focused Auditory Therapy,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Music-Assisted Reframing,Music-Assisted Reframing,Natural Medicines
Music-Based Imagery,Music-Based Imagery,"Natural Medicines,Integrative Nursing"
bathing,bathing,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
gardening,gardening,"Natural Medicines,Duke"
Cochrane,Cochrane,Natural Medicines
Osteopathie,Osteopathie,"Natural Medicines,Integrative Nursing, Lindquist, Cochrane"
Noetic Therapy,Noetic Therapy,"Natural Medicines,MESH, Cochrane"
Divining,Divining,Natural Medicines
Compassion and Healing,Compassion and Healing,Natural Medicines
Faith Healing,Faith Healing,Natural Medicines
Intercessory Prayer,Intercessory Prayer,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Compassionate Intention,Compassionate Intention,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Remote Healing,Remote Healing,Natural Medicines
Native American Faith Healing,Native American Faith Healing,"Natural Medicines,Integrative Nursing, Cochrane"
Acceptance and Commitment Therapy,Acceptance and Commitment Therapy,"Natural Medicines,Cochrane"
Chan Mi Gong,Chan Mi Gong,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Dongeui Qi Gong,Dongeui Qi Gong,Natural Medicines
Qi Gong Yangsheng,Qi Gong Yangsheng,Natural Medicines
External Qi Gong Therapy,External Qi Gong Therapy,Natural Medicines
Yi Jia Gong,Yi Jia Gong,Natural Medicines
Biyun Method,Biyun Method,"Natural Medicines,Cochrane"
Guolin,Guolin,Natural Medicines
Dantian,Dantian,Natural Medicines
Qigong Healer,Qigong Healer,"Natural Medicines,Cochrane"
Biyun Qi Gong,Biyun Qi Gong,"Natural Medicines,NCCIH, Lindquist, Integrative Nursing, Mayo, Duke"
Eight-Section Brocades Qi Gong,Eight-Section Brocades Qi Gong,Natural Medicines
Five Animals Qi Gong,Five Animals Qi Gong,Natural Medicines
Daoyin Qi Gong,Daoyin Qi Gong,Natural Medicines
Ba Duan Jin,Ba Duan Jin,"Natural Medicines,SNOMED, Cochrane"
Ear Reflexology,Ear Reflexology,Natural Medicines
Hand Reflexology,Hand Reflexology,"Natural Medicines,Integrative Nursing"
Foot Reflexology,Foot Reflexology,Natural Medicines
Foot Therapy,Foot Therapy,Natural Medicines
Lymphatic Reflexology,Lymphatic Reflexology,Natural Medicines
Reflexologist,Reflexologist,Natural Medicines
Buddhist Reiki,Buddhist Reiki,Natural Medicines
Applied Relaxation,Applied Relaxation,Natural Medicines
Relaxation Training,Relaxation Training,Natural Medicines
Abbreviated Muscle Relaxation Therapy,Abbreviated Muscle Relaxation Therapy,Natural Medicines
Rolfing Structural Integration,Rolfing Structural Integration,Natural Medicines
Rolfer,Rolfer,Natural Medicines
Namikoshi Shiatsu,Namikoshi Shiatsu,Natural Medicines
Tao Shiatsu,Tao Shiatsu,Natural Medicines
Shiatsu Japonais,Shiatsu Japonais,Natural Medicines
Meridian Shiatsu,Meridian Shiatsu,Natural Medicines
Finger Pressure,Finger Pressure,Natural Medicines
Quantum Shiatsu,Quantum Shiatsu,Natural Medicines
Japanese Shiatsu,Japanese Shiatsu,Natural Medicines
Ohashiatsu,Ohashiatsu,Natural Medicines
Shiatsu Ryoho,Shiatsu Ryoho,Natural Medicines
Shiatsupractor,Shiatsupractor,Natural Medicines
Zen Shiatsu,Zen Shiatsu,Natural Medicines
Tsubo Shiatsu,Tsubo Shiatsu,Natural Medicines
Jaladhara,Jaladhara,Natural Medicines
Thyladhara,Thyladhara,Natural Medicines
Ksheeradhara,Ksheeradhara,Natural Medicines
Thakradhara,Thakradhara,"Natural Medicines,Integrative Nursing"
Ayurvedic Shirodhara,Ayurvedic Shirodhara,Natural Medicines
bereavement group,bereavement group,Natural Medicines
Ceremonies,Ceremonies,Natural Medicines
Art Martial Interne,Art Martial Interne,Natural Medicines
Moving Meditation,Moving Meditation,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Mayo, Duke, Cochrane"
Internal Martial Art,Internal Martial Art,Natural Medicines
Trager Psychophysical Integration Therapy,Trager Psychophysical Integration Therapy,Natural Medicines
Massage Trager,Massage Trager,Natural Medicines
Terapia Trager,Terapia Trager,Natural Medicines
Trager Re-education Therapy,Trager Re-education Therapy,Natural Medicines
Approche Pyscho-corporelle,Approche Pyscho-corporelle,Natural Medicines
Mentastics,Mentastics,Natural Medicines
Trager Mentastics,Trager Mentastics,Natural Medicines
Acupoint Electrical Stimulation,Acupoint Electrical Stimulation,Natural Medicines
Acupuncture Point Stimulation,Acupuncture Point Stimulation,Natural Medicines
Acustimulation Wristbands,Acustimulation Wristbands,Natural Medicines
Transcutaneous Acupoint Electrical Stimulation,Transcutaneous Acupoint Electrical Stimulation,Natural Medicines
Positional Release Therapy,Positional Release Therapy,Natural Medicines
Dry Needling,Dry Needling,Natural Medicines
Deep Dry Needling,Deep Dry Needling,Natural Medicines
Trigger Point Management,Trigger Point Management,Natural Medicines
Trigger Point Injection,Trigger Point Injection,Natural Medicines
Reflex locomotion,Reflex locomotion,Cochrane
Laughter Yoga,Laughter Yoga,"Natural Medicines,Cochrane"
Pranayama,Pranayama,Natural Medicines
Sudarshana Kriya Yoga,Sudarshana Kriya Yoga,Natural Medicines
Kripalu Yoga,Kripalu Yoga,Natural Medicines
Yoga Bikram,Yoga Bikram,Natural Medicines
Yoga Meditation,Yoga Meditation,Natural Medicines
Ashtanga,Ashtanga,Duke
Yoga breathing and gentle stretching,Yoga breathing and gentle stretching,Integrative nursing
Tibetan Yoga,Tibetan Yoga,Natural Medicines
Chair yoga,Chair yoga,Integrative Nursing
Sivananda Yoga,Sivananda Yoga,Natural Medicines
Hot Yoga,Hot Yoga,Natural Medicines
Tantra Yoga,Tantra Yoga,Natural Medicines
Vinyasa Yoga,Vinyasa Yoga,Natural Medicines
Ashtanga Yoga,Ashtanga Yoga,Natural Medicines
Creative Yoga,Creative Yoga,Natural Medicines
Bikram,Bikram,Duke
Relaxing Yoga,Relaxing Yoga,Natural Medicines
Yoga Practice,Yoga Practice,Natural Medicines
Iyengar,Iyengar,Duke
Power Yoga,Power Yoga,Natural Medicines
Relaxation Yogique,Relaxation Yogique,Natural Medicines
Bikram Yoga,Bikram Yoga,Natural Medicines
Yoga Iyengar,Yoga Iyengar,Natural Medicines
Surya Namaskara,Surya Namaskara,Natural Medicines
Asana,Asana,Natural Medicines
Yoga de Relaxation,Yoga de Relaxation,Natural Medicines
Karma,Karma,"Natural Medicines,Duke"
Kundalini Yyoga,Kundalini Yyoga,Natural Medicines
Yogic Training,Yogic Training,Natural Medicines
Yoga Chaud,Yoga Chaud,Natural Medicines
Viniyoga,Viniyoga,Natural Medicines
Yoga Exercise,Yoga Exercise,Natural Medicines
Yoga Tantrique,Yoga Tantrique,Natural Medicines
Iyengar Yoga,Iyengar Yoga,Natural Medicines
Jinana Yoga,Jinana Yoga,Natural Medicines
Sahaj Yoga,Sahaj Yoga,Natural Medicines
Yoga Therapy,Yoga Therapy,Natural Medicines
Yoga Nidra,Yoga Nidra,Natural Medicines
Exercice de Yoga,Exercice de Yoga,Natural Medicines
Hatha Yoga,Hatha Yoga,Natural Medicines
Hatha,Hatha,Duke
Yogasana,Yogasana,Natural Medicines
Direct Vibration,Direct Vibration,Natural Medicines
Focal Muscle Vibration,Focal Muscle Vibration,Natural Medicines
Local Vibration Therapy,Local Vibration Therapy,Natural Medicines
Low Frequency Sound Stimulation,Low Frequency Sound Stimulation,Natural Medicines
Physioacoustic Vibration,Physioacoustic Vibration,Natural Medicines
Rhythmic Sensory Stimulation,Rhythmic Sensory Stimulation,Natural Medicines
Sound Vibrational Therapy,Sound Vibrational Therapy,Natural Medicines
Sound Wave Vibrational Therapy,Sound Wave Vibrational Therapy,Natural Medicines
Vibration Foam Rolling,Vibration Foam Rolling,Natural Medicines
Vibration Healing,Vibration Healing,Natural Medicines
Vibration Training,Vibration Training,Natural Medicines
Vibroacoustic Therapy,Vibroacoustic Therapy,Natural Medicines
Electroacupuncture,Electroacupuncture,"Natural Medicines,MESH, Cochrane, Duke, Lindquist"
Electroacupuncture,Electro-acupuncture,"Duke, Cochrane, MESH"
Equine Therapy,Equine Therapy,Natural Medicines
Equine Therapy,Equine-Assisted Activity,Natural Medicines
Equine Therapy,Equine-Assisted Activities and Therapies,Natural Medicines
Horse-Riding Therapy,Therapeutic Horseback Riding,"Natural Medicines,Integrative Nursing, Lindquist, Mayo"
Horse-Riding Therapy,Horse-Riding Therapy,Natural Medicines
Horse-Riding Therapy,Hippotherapy,"Natural Medicines,Cochrane"
Canine Therapy,Dog-Assisted Therapy,Natural Medicines
Canine Therapy,Canine Therapy,Natural Medicines
Autogenic Relaxation,Autogenic Relaxation,Natural Medicines
Autogenic Relaxation,Autogenic Relaxation Technique,"Natural Medicines,Mayo"
Autogenic Relaxation,Autogenic Relaxation Training,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Electromyography Biofeedback,Electromyography Biofeedback,"Natural Medicines,Integrative Nursing"
Gem Therapy,Gem Therapy,Natural Medicines
Gem Therapy,Gemstone Therapy,Natural Medicines
Face Training,Face Training,"Natural Medicines,NCCIH, Mayo, Duke, Cochrane"
Face Training,Facial Training,Natural Medicines
Attentional Focus and Symptom Management Intervention,Attentional Focus and Symptom Management Intervention,Natural Medicines
Ultraviolet Therapy,Ultraviolet Therapy,Natural Medicines
Pulsed Electromagnetic Field Therapy,Pulsed Electromagnetic Field Therapy,"Natural Medicines,Cochrane"
Guided Imagery and Music,Guided Imagery and Music,Natural Medicines
Baduanjin Qi Gong,Baduanjin Qi Gong,Natural Medicines
Baduanjin Qi Gong,Baduanjin,"Natural Medicines,Cochrane"
Japanese Reiki,Japanese Reiki,Natural Medicines
Japanese Reiki,Reiki Japonais,Natural Medicines
Whole Body Vibration Therapy,Whole Body Vibration Exercise,Natural Medicines
Whole Body Vibration Therapy,Whole Body Vibration Therapy,Natural Medicines
Whole Body Vibration Therapy,Whole-body vibration therapy,Cochrane
Raja Yoga,Raja Yoga,Natural Medicines
Raja Yoga,Raja,Duke
Bhakti Yoga,Bhakti Yoga,"Natural Medicines,Duke"
Bhakti Yoga,Bhakti,"Natural Medicines,Duke"
Foot Massage,Foot Massage,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Foot Massage,Foot Reflexion Massage,Natural Medicines